city,rent_weekly,income_weekly,transport_weekly,grocery_weekly,tuition_weekly,study_hours,work_hours,commute_hours,total_expenses,savings_weekly,financial_stress
Brisbane,359,632,26,129,198,32,1,2.3946453051802505,712,-80,1
Melbourne,210,607,26,56,136,46,2,1.8256188159156068,428,179,0
Melbourne,337,238,34,71,323,30,11,2.260214171605839,765,-527,1
Melbourne,277,244,53,142,170,24,2,1.150289957538498,642,-398,1
Sydney,276,601,23,124,132,20,3,2.8547624320958227,555,46,1
Sydney,453,577,33,105,130,28,5,1.8252212422860599,721,-144,1
Brisbane,457,300,33,146,282,36,11,2.5783101782131244,918,-618,1
Brisbane,519,663,35,107,224,41,18,1.4126142336902836,885,-222,1
Brisbane,490,525,26,142,111,20,9,0.7505283726263113,769,-244,1
Sydney,462,171,51,113,110,22,0,2.184279119302122,736,-565,1
Sydney,284,462,38,61,187,34,16,0.5193991208435612,570,-108,1
Brisbane,345,668,21,56,171,45,15,1.6882324414137706,593,75,0
Brisbane,522,355,29,104,131,40,8,0.9820047566661481,786,-431,1
Sydney,241,524,36,111,156,45,8,2.068438761088405,544,-20,1
Brisbane,573,600,56,139,265,42,8,2.9485496828446305,1033,-433,1
Melbourne,324,328,31,122,287,49,11,1.6610072658016148,764,-436,1
Sydney,366,359,25,147,185,29,8,2.5437456413141666,723,-364,1
Brisbane,440,649,41,126,325,27,14,1.7694604673778027,932,-283,1
Sydney,479,613,51,104,118,31,1,1.7396000777600602,752,-139,1
Melbourne,387,273,39,85,215,44,10,2.8260587329469447,726,-453,1
Sydney,501,262,20,138,311,41,10,2.7249146718667037,970,-708,1
Sydney,218,161,25,73,283,34,7,2.464501162969936,599,-438,1
Sydney,267,275,38,93,113,46,5,1.2406393832919602,511,-236,1
Sydney,417,480,37,66,132,28,19,1.8625210393098515,652,-172,1
Melbourne,301,432,25,51,109,43,6,1.0597430832642125,486,-54,1
Sydney,241,289,52,62,179,44,2,1.6097917451163495,534,-245,1
Sydney,487,550,42,80,291,29,7,1.7105326643994765,900,-350,1
Brisbane,366,246,42,142,163,39,17,2.5791001004233274,713,-467,1
Sydney,308,666,45,77,289,28,16,2.7400709133124828,719,-53,1
Brisbane,235,218,32,109,167,34,10,1.5365501559911947,543,-325,1
Melbourne,431,267,26,76,318,42,1,0.544261112683093,851,-584,1
Melbourne,428,208,34,64,191,40,18,2.6544345994733867,717,-509,1
Melbourne,552,182,46,144,224,40,6,0.9356966962534017,966,-784,1
Melbourne,363,467,45,128,270,20,17,2.054704909725984,806,-339,1
Brisbane,586,199,52,82,179,21,7,0.562427251085328,899,-700,1
Sydney,272,638,34,69,158,45,13,1.4987661881514107,533,105,0
Melbourne,335,168,55,91,279,38,6,2.9649007552883746,760,-592,1
Sydney,552,346,46,61,196,49,3,0.7517340027595077,855,-509,1
Brisbane,578,599,24,122,339,33,16,1.5592328799991058,1063,-464,1
Brisbane,269,601,21,72,118,27,4,1.2678748754748805,480,121,0
Brisbane,395,438,52,121,248,25,11,2.762720308470661,816,-378,1
Melbourne,468,290,35,145,121,31,8,2.6733502697683877,769,-479,1
Sydney,248,233,42,63,108,45,19,1.094246900765572,461,-228,1
Sydney,515,540,57,140,108,46,12,0.7029694676260779,820,-280,1
Sydney,329,364,35,74,300,48,17,2.0678459851527937,738,-374,1
Brisbane,204,675,33,126,126,34,19,1.3409217797092743,489,186,0
Melbourne,226,364,48,134,116,33,8,2.180210976515158,524,-160,1
Brisbane,359,552,45,80,271,40,3,0.5802993901695361,755,-203,1
Brisbane,348,277,54,103,348,48,7,0.8334980879437235,853,-576,1
Sydney,463,626,34,54,144,20,0,2.2159305819316084,695,-69,1
Brisbane,429,553,22,62,107,47,16,1.0309266382562443,620,-67,1
Sydney,399,178,42,77,307,30,8,2.643969189406004,825,-647,1
Melbourne,249,487,48,92,245,47,19,0.6464772192753385,634,-147,1
Sydney,266,510,53,138,224,44,12,1.0387049569639366,681,-171,1
Melbourne,499,541,52,148,222,22,1,2.9964006212126715,921,-380,1
Sydney,580,367,42,96,132,38,12,1.5826902564669816,850,-483,1
Brisbane,257,351,26,120,100,37,8,2.257414158861609,503,-152,1
Brisbane,458,166,22,87,303,39,19,0.9566576221425342,870,-704,1
Melbourne,541,471,51,145,105,47,5,2.024671837463844,842,-371,1
Melbourne,525,667,50,116,140,21,0,2.315265170923546,831,-164,1
Melbourne,329,474,37,111,282,48,4,1.2861915896662763,759,-285,1
Sydney,414,561,26,88,104,44,2,2.5722427799396943,632,-71,1
Sydney,371,467,20,86,286,47,3,2.0085439461807084,763,-296,1
Melbourne,457,231,33,135,179,45,0,1.4728075240375755,804,-573,1
Brisbane,301,623,51,57,117,26,13,1.8941059833578964,526,97,0
Sydney,408,617,25,130,276,27,8,1.9419021185898107,839,-222,1
Sydney,490,574,58,101,181,38,3,0.913838231734665,830,-256,1
Sydney,553,353,29,140,164,41,17,1.5068309246674154,886,-533,1
Melbourne,485,536,26,82,182,34,13,1.3585764700487328,775,-239,1
Melbourne,315,247,45,130,281,29,3,1.5022568064478152,771,-524,1
Melbourne,463,494,53,91,288,41,9,2.4027764712131447,895,-401,1
Melbourne,349,357,49,125,235,48,2,1.7063460186666817,758,-401,1
Melbourne,499,663,55,76,230,20,6,2.8507903830981607,860,-197,1
Brisbane,235,315,40,57,349,25,9,1.2341910333960904,681,-366,1
Brisbane,532,171,36,72,124,32,12,1.5392589457123225,764,-593,1
Melbourne,486,303,52,113,349,33,3,2.4673920261976034,1000,-697,1
Sydney,502,588,29,142,168,22,17,1.8650614833018757,841,-253,1
Melbourne,510,444,31,69,282,30,10,1.8675703660611194,892,-448,1
Brisbane,407,368,35,65,267,22,3,0.6333504075129588,774,-406,1
Brisbane,305,644,51,66,310,38,13,1.4964991567961397,732,-88,1
Sydney,357,379,34,129,181,29,17,1.1768343310543312,701,-322,1
Brisbane,320,169,46,68,277,46,7,2.9983378070777884,711,-542,1
Melbourne,254,297,47,57,216,34,9,1.2708876765807757,574,-277,1
Sydney,599,257,36,87,194,30,4,2.7112413369846586,916,-659,1
Melbourne,211,552,21,87,132,34,6,2.1905843376011935,451,101,0
Melbourne,344,632,55,102,210,45,11,1.352291022980226,711,-79,1
Sydney,599,516,26,142,245,46,2,1.8588359459353092,1012,-496,1
Melbourne,595,563,32,149,224,43,3,2.6013396998729843,1000,-437,1
Brisbane,335,458,34,139,284,32,9,2.7084207450772797,792,-334,1
Melbourne,202,283,44,80,330,24,3,0.9009846875153631,656,-373,1
Sydney,343,432,42,93,115,23,14,1.348932853020424,593,-161,1
Sydney,229,222,41,109,179,32,9,1.3380579505339292,558,-336,1
Sydney,436,630,45,125,338,28,15,0.6051119901898617,944,-314,1
Melbourne,478,501,52,66,137,44,14,1.9955943996297414,733,-232,1
Sydney,547,475,30,128,268,36,18,2.63705013248047,973,-498,1
Sydney,314,592,29,122,234,21,19,1.4539359695637946,699,-107,1
Melbourne,303,249,44,88,177,43,18,2.3500898624604427,612,-363,1
Brisbane,317,208,56,91,334,24,17,2.0692510340018497,798,-590,1
Melbourne,204,657,57,97,280,35,11,1.439121838732502,638,19,1
Sydney,559,407,43,61,162,26,15,0.8526494987307427,825,-418,1
Sydney,447,562,59,145,211,20,0,2.2733096319399184,862,-300,1
Melbourne,563,601,52,138,188,47,15,2.636412922353101,941,-340,1
Brisbane,520,214,36,67,259,45,1,2.2146362310037295,882,-668,1
Sydney,320,303,43,128,137,31,14,0.5446962100870452,628,-325,1
Sydney,485,415,56,145,249,40,6,1.0405822359774781,935,-520,1
Sydney,348,228,21,55,243,30,0,0.6736999622088298,667,-439,1
Melbourne,283,464,51,92,151,31,4,1.925965248940567,577,-113,1
Sydney,430,397,43,84,128,38,9,2.391194197101031,685,-288,1
Brisbane,487,563,28,147,243,45,3,0.7764479676716486,905,-342,1
Sydney,360,174,23,103,175,31,13,2.595844551483463,661,-487,1
Sydney,471,433,36,111,244,31,12,1.888772445988708,862,-429,1
Brisbane,237,598,36,118,328,33,0,2.2249225303543123,719,-121,1
Sydney,425,450,49,131,163,21,15,2.9285046215216157,768,-318,1
Melbourne,341,217,59,65,190,21,8,0.7092024706192432,655,-438,1
Melbourne,491,156,30,57,188,44,15,2.7530600574444732,766,-610,1
Melbourne,350,286,40,138,112,48,18,0.8152567399685233,640,-354,1
Brisbane,313,313,40,145,171,23,14,1.4823970165917055,669,-356,1
Sydney,436,232,37,139,283,39,13,2.6285967408277857,895,-663,1
Melbourne,265,569,48,135,104,42,19,2.7656355918446707,552,17,1
Brisbane,560,222,43,80,111,45,9,1.7659291838628635,794,-572,1
Sydney,540,386,29,59,268,35,11,1.9852615956885629,896,-510,1
Brisbane,457,195,36,105,102,29,0,2.270368336496393,700,-505,1
Melbourne,448,411,37,125,326,32,16,2.5818966711317852,936,-525,1
Melbourne,530,325,39,141,132,21,8,0.8037779238441654,842,-517,1
Melbourne,522,315,56,119,220,22,18,2.525173270573069,917,-602,1
Brisbane,379,519,37,69,313,38,17,1.703190376279042,798,-279,1
Brisbane,389,203,36,54,149,25,6,1.6265585627704224,628,-425,1
Melbourne,353,568,28,72,283,38,8,1.5597493799924957,736,-168,1
Brisbane,395,656,33,58,335,46,11,1.7730289631151064,821,-165,1
Melbourne,510,490,48,107,236,40,6,2.862626383486509,901,-411,1
Melbourne,461,276,50,108,332,39,13,1.870509431980379,951,-675,1
Sydney,342,558,23,142,309,38,14,2.8829438456578482,816,-258,1
Brisbane,541,516,37,129,277,27,14,0.9507253265391015,984,-468,1
Melbourne,515,420,39,103,128,33,5,2.310339947081583,785,-365,1
Melbourne,300,528,28,95,138,29,13,2.530598846521868,561,-33,1
Brisbane,443,222,32,71,190,22,1,2.197822078337155,736,-514,1
Sydney,211,397,34,113,199,25,7,2.017305700566351,557,-160,1
Sydney,438,192,46,57,272,48,12,1.9120319527154557,813,-621,1
Melbourne,248,526,34,69,116,34,5,2.65232620644674,467,59,0
Brisbane,241,190,47,100,155,42,4,2.55411649291125,543,-353,1
Sydney,365,319,56,127,325,42,4,0.8057218029514988,873,-554,1
Brisbane,281,361,38,88,145,37,0,2.621469142577195,552,-191,1
Brisbane,490,642,45,86,166,33,8,1.5351715486011062,787,-145,1
Melbourne,357,188,45,99,296,38,5,1.134242074989527,797,-609,1
Sydney,415,518,44,83,241,47,19,2.6744214200348146,783,-265,1
Melbourne,357,300,45,124,166,45,6,1.580061999084354,692,-392,1
Sydney,333,260,45,82,122,29,8,2.5209117254420415,582,-322,1
Sydney,266,629,47,80,330,34,4,1.1585090298896112,723,-94,1
Sydney,535,585,37,103,193,23,13,0.5098233035555445,868,-283,1
Sydney,206,196,51,93,341,42,4,1.738647982257361,691,-495,1
Sydney,213,515,22,83,336,21,7,0.7505706416072107,654,-139,1
Brisbane,272,218,21,120,288,22,6,2.385939888812274,701,-483,1
Melbourne,598,448,52,111,250,26,12,1.190187840173526,1011,-563,1
Brisbane,362,445,38,72,254,42,12,1.6091141165086968,726,-281,1
Sydney,265,352,36,95,153,35,7,0.7175839127288857,549,-197,1
Melbourne,546,210,52,105,237,29,10,1.2166481211181317,940,-730,1
Sydney,329,463,31,56,316,38,17,2.45372560814643,732,-269,1
Melbourne,405,310,22,138,176,47,18,0.8789697797557987,741,-431,1
Brisbane,475,480,45,110,115,36,5,2.1178989028173936,745,-265,1
Melbourne,455,677,54,52,140,47,1,2.793564632011253,701,-24,1
Melbourne,465,487,27,87,197,38,12,2.1995918993943007,776,-289,1
Melbourne,224,453,55,133,282,24,10,2.527554223230567,694,-241,1
Melbourne,480,652,26,83,227,42,0,0.7724290732597895,816,-164,1
Melbourne,452,487,55,93,328,39,1,1.126829565005136,928,-441,1
Sydney,509,699,35,79,160,32,16,2.7363471306014775,783,-84,1
Melbourne,488,424,43,66,185,32,7,2.287764034045223,782,-358,1
Melbourne,363,313,20,108,308,30,1,2.098884565943278,799,-486,1
Brisbane,294,592,44,59,314,30,5,2.15941684030425,711,-119,1
Melbourne,469,468,29,148,217,35,4,1.5355013857616084,863,-395,1
Brisbane,520,653,35,133,199,34,15,0.6113915790441331,887,-234,1
Sydney,309,536,35,67,148,36,7,2.4611038551768227,559,-23,1
Melbourne,535,643,27,94,300,41,18,2.1967830905383847,956,-313,1
Brisbane,509,639,48,140,279,37,15,1.6820111602818117,976,-337,1
Brisbane,437,222,58,108,101,47,12,2.7493990384206435,704,-482,1
Sydney,580,658,47,111,323,38,19,1.3403991624627472,1061,-403,1
Melbourne,586,539,25,108,219,23,6,1.2358043605780897,938,-399,1
Melbourne,589,444,35,98,277,41,15,2.681990812698607,999,-555,1
Brisbane,224,518,39,149,344,41,15,2.492469136897464,756,-238,1
Melbourne,340,698,35,112,222,42,11,1.7874495266208619,709,-11,1
Brisbane,316,336,26,136,185,24,13,0.8268368486446249,663,-327,1
Melbourne,591,594,33,81,270,26,17,1.037678678662631,975,-381,1
Brisbane,224,512,45,59,176,21,17,2.1405699760220167,504,8,1
Melbourne,278,272,45,60,235,20,15,1.462603094601029,618,-346,1
Sydney,267,337,33,119,158,31,19,2.591182979164928,577,-240,1
Melbourne,372,569,26,111,292,29,15,2.8748875233305102,801,-232,1
Melbourne,211,401,52,96,308,27,12,2.5140923131872954,667,-266,1
Sydney,487,698,45,83,111,20,8,1.443863557488893,726,-28,1
Melbourne,327,484,39,149,103,31,8,2.4717160730785603,618,-134,1
Sydney,295,241,22,66,216,21,12,1.3786041836767087,599,-358,1
Melbourne,291,679,23,103,304,46,3,0.9177502194140847,721,-42,1
Brisbane,340,212,45,125,194,47,8,0.5834830121646435,704,-492,1
Brisbane,230,661,30,134,224,29,14,1.46429178190255,618,43,1
Melbourne,533,288,21,89,140,41,13,2.7588982592432045,783,-495,1
Melbourne,219,334,33,68,222,36,18,1.0974664693891913,542,-208,1
Melbourne,345,354,49,116,106,45,11,1.0162829123244599,616,-262,1
Brisbane,515,363,31,131,314,22,5,2.924551963102601,991,-628,1
Melbourne,589,405,45,102,315,26,2,0.5625102821264802,1051,-646,1
Brisbane,359,284,52,113,168,31,19,2.464455375984386,692,-408,1
Sydney,548,237,32,132,168,27,15,1.3034248893521758,880,-643,1
Brisbane,242,356,33,96,180,39,19,0.5937198921741483,551,-195,1
Brisbane,453,278,43,55,129,31,16,2.794506350523959,680,-402,1
Sydney,329,152,53,65,172,22,15,0.849105825523959,619,-467,1
Brisbane,259,270,45,121,105,36,5,1.8794482093142384,530,-260,1
Melbourne,350,534,40,67,188,47,7,1.1851355185738695,645,-111,1
Melbourne,486,187,47,101,246,28,18,0.6629820054617276,880,-693,1
Brisbane,204,490,55,97,307,29,1,0.6248062141584477,663,-173,1
Melbourne,465,170,59,92,312,41,13,0.788891747090847,928,-758,1
Brisbane,544,391,21,88,165,25,11,0.6784175347234501,818,-427,1
Melbourne,329,604,28,98,109,44,16,2.401395288799807,564,40,1
Melbourne,581,452,42,61,243,20,14,1.7139155057085729,927,-475,1
Brisbane,466,218,34,59,136,41,17,1.3572302283724493,695,-477,1
Melbourne,377,278,32,120,306,31,15,1.545922275330018,835,-557,1
Brisbane,452,345,42,104,176,24,12,2.822366838931558,774,-429,1
Melbourne,255,289,36,50,176,32,16,2.776879531845368,517,-228,1
Melbourne,282,593,21,98,131,46,7,2.2891912003064423,532,61,0
Sydney,592,432,39,85,336,34,0,2.7117059435542195,1052,-620,1
Sydney,298,461,39,70,146,41,2,1.2991200689690618,553,-92,1
Brisbane,348,684,22,86,209,49,15,1.4527733150207072,665,19,1
Sydney,528,426,31,73,299,30,1,2.03428045463557,931,-505,1
Brisbane,355,210,59,104,270,27,14,2.0590648682431603,788,-578,1
Sydney,389,468,21,74,309,24,0,1.7042495950308525,793,-325,1
Melbourne,570,201,55,56,219,21,8,1.5016446210948833,900,-699,1
Brisbane,462,302,33,130,263,31,15,2.965450779021738,888,-586,1
Brisbane,279,460,35,142,253,47,3,2.552809065294311,709,-249,1
Melbourne,599,693,38,143,109,21,11,1.587450494720113,889,-196,1
Brisbane,451,538,53,120,258,45,0,2.3182311930989212,882,-344,1
Brisbane,296,697,25,146,196,35,0,1.1739042331311487,663,34,1
Sydney,459,326,32,120,256,40,6,0.7504233155933246,867,-541,1
Brisbane,459,511,55,73,104,22,17,1.3810775638818515,691,-180,1
Melbourne,302,463,41,60,176,29,14,1.5074320003084856,579,-116,1
Sydney,239,246,37,122,100,38,12,0.541342811401677,498,-252,1
Sydney,472,362,31,61,314,27,15,2.53698000408974,878,-516,1
Melbourne,300,286,49,84,331,26,6,1.3979835059729537,764,-478,1
Melbourne,558,155,59,112,230,20,15,1.9510454144503675,959,-804,1
Sydney,579,258,26,117,166,31,12,0.68490796817739,888,-630,1
Brisbane,507,696,51,149,298,48,13,0.9374920718764599,1005,-309,1
Sydney,420,188,38,141,327,47,16,2.7242343133188998,926,-738,1
Melbourne,507,574,25,106,262,24,11,2.0217188197070017,900,-326,1
Sydney,323,410,39,62,114,35,19,2.875710125426214,538,-128,1
Melbourne,430,575,46,72,331,44,12,2.996875085978292,879,-304,1
Sydney,377,236,56,132,294,23,19,1.429650288332736,859,-623,1
Brisbane,262,614,26,88,192,36,14,1.2470076602081865,568,46,1
Sydney,315,225,24,137,129,43,3,2.6458901378977417,605,-380,1
Sydney,390,620,30,129,202,40,1,2.9965285675936357,751,-131,1
Melbourne,261,563,34,146,181,21,17,2.074103085581143,622,-59,1
Melbourne,455,606,22,61,174,31,1,2.487851806278806,712,-106,1
Melbourne,206,434,24,83,270,20,14,2.454364647038186,583,-149,1
Sydney,354,388,42,120,340,49,18,1.3883492705488674,856,-468,1
Brisbane,291,521,56,124,159,31,14,1.9356759506427181,630,-109,1
Melbourne,213,644,28,80,329,31,19,2.582642353160534,650,-6,1
Melbourne,428,194,34,142,139,31,9,2.2202846906526386,743,-549,1
Sydney,285,550,22,111,292,38,19,0.5529095349550956,710,-160,1
Melbourne,332,396,48,62,256,44,10,1.3417641722438338,698,-302,1
Brisbane,382,599,25,80,173,36,9,0.8611892414865134,660,-61,1
Brisbane,585,634,36,51,319,39,4,1.0824305301950976,991,-357,1
Melbourne,261,167,45,64,220,43,8,2.763723693728314,590,-423,1
Melbourne,418,438,40,106,322,43,19,0.5922332222769204,886,-448,1
Sydney,445,563,27,124,246,45,18,1.0495017799048094,842,-279,1
Brisbane,429,384,40,83,102,47,12,1.2739233805955785,654,-270,1
Brisbane,278,565,30,117,135,30,17,2.042210179915987,560,5,1
Melbourne,348,648,57,124,142,32,16,1.8352542252146637,671,-23,1
Sydney,337,264,27,78,242,46,5,1.0456737071334652,684,-420,1
Brisbane,513,383,43,115,324,27,9,0.9106026680578861,995,-612,1
Brisbane,575,689,54,65,268,29,1,1.091995086490297,962,-273,1
Sydney,588,160,33,88,334,27,5,1.7563240667541389,1043,-883,1
Sydney,264,355,33,126,214,39,12,1.1779444642780086,637,-282,1
Brisbane,212,396,29,86,208,27,17,2.8690062540193053,535,-139,1
Brisbane,412,276,31,130,189,28,6,1.6596630535721189,762,-486,1
Sydney,441,296,57,70,307,26,1,0.6469900413615927,875,-579,1
Brisbane,412,267,53,93,263,33,13,2.3231660145915836,821,-554,1
Melbourne,380,531,29,68,324,47,4,1.322113220522474,801,-270,1
Melbourne,537,561,36,120,183,21,17,2.133722330145619,876,-315,1
Sydney,372,512,36,57,176,44,10,1.19898592630808,641,-129,1
Sydney,359,658,22,126,260,30,9,1.9268593543332997,767,-109,1
Sydney,363,286,50,115,104,27,10,2.4303812620186616,632,-346,1
Melbourne,387,324,20,90,328,32,1,2.820021854436385,825,-501,1
Brisbane,594,438,31,124,177,40,14,1.1528178610826927,926,-488,1
Melbourne,390,630,58,137,190,34,6,1.337142377497453,775,-145,1
Brisbane,507,168,23,119,186,47,8,1.6606660507148492,835,-667,1
Melbourne,455,344,32,110,113,22,4,2.817937094339972,710,-366,1
Brisbane,382,479,53,75,203,42,6,2.7534671420266426,713,-234,1
Melbourne,316,324,40,120,295,33,19,0.724695700251595,771,-447,1
Sydney,481,598,41,132,330,49,1,0.8298245643845271,984,-386,1
Melbourne,395,503,23,119,343,34,2,1.7387729433265957,880,-377,1
Brisbane,233,648,37,78,182,21,1,0.7665481820135587,530,118,0
Melbourne,251,290,24,115,274,48,18,1.3639521833717436,664,-374,1
Melbourne,311,242,38,68,153,38,3,0.8709634455436941,570,-328,1
Melbourne,451,388,21,117,231,31,19,2.0901008878297147,820,-432,1
Sydney,281,354,31,107,321,44,6,2.873738579347904,740,-386,1
Melbourne,431,582,36,119,310,39,6,2.991834425735954,896,-314,1
Sydney,426,394,29,106,194,23,16,1.438102831242287,755,-361,1
Sydney,432,466,53,86,322,22,18,1.9975315927865307,893,-427,1
Melbourne,420,444,25,110,108,24,15,2.6406691338102033,663,-219,1
Melbourne,241,431,27,141,152,22,2,0.79365518199096,561,-130,1
Melbourne,220,166,30,79,176,44,14,2.2239110276299123,505,-339,1
Brisbane,241,220,31,120,305,34,13,1.5221091543126706,697,-477,1
Melbourne,596,418,28,122,346,38,14,1.0153654007004103,1092,-674,1
Sydney,312,474,21,74,159,21,13,1.5068840468686049,566,-92,1
Melbourne,304,454,27,146,145,31,6,0.6899007174122922,622,-168,1
Brisbane,391,600,30,114,153,24,2,2.2385178714732645,688,-88,1
Melbourne,216,156,55,55,173,41,16,1.1318566718711327,499,-343,1
Brisbane,319,463,29,67,211,36,9,1.278514112612195,626,-163,1
Brisbane,592,252,40,59,194,33,14,0.8027032456036569,885,-633,1
Melbourne,328,342,39,141,264,47,5,2.661647784724729,772,-430,1
Sydney,329,678,27,60,122,46,16,1.7336106982068464,538,140,0
Brisbane,259,320,55,146,126,41,16,1.9303671944660006,586,-266,1
Melbourne,247,686,48,114,169,29,13,1.9235817077371364,578,108,0
Melbourne,228,400,31,126,317,22,17,1.5262327863533542,702,-302,1
Sydney,296,536,33,133,293,23,4,0.9813247885953487,755,-219,1
Brisbane,209,356,40,114,208,25,7,2.3628318712459997,571,-215,1
Brisbane,441,690,41,101,288,43,6,0.8176406633941858,871,-181,1
Melbourne,513,565,40,116,176,44,3,0.7596844756970262,845,-280,1
Melbourne,431,529,49,131,278,41,17,2.2753625939912583,889,-360,1
Sydney,476,293,58,127,149,35,4,1.0220925511299597,810,-517,1
Sydney,483,174,39,80,223,26,15,1.2669318783820809,825,-651,1
Brisbane,402,222,43,140,118,34,13,1.6880686675043506,703,-481,1
Brisbane,446,242,42,66,100,49,18,1.6233782918238655,654,-412,1
Melbourne,489,654,26,104,139,40,13,2.271447812662498,758,-104,1
Brisbane,463,485,28,142,259,49,8,2.0585794836084026,892,-407,1
Sydney,413,574,20,85,121,47,5,2.1109904057046642,639,-65,1
Sydney,399,648,45,75,211,44,16,2.2851358266386432,730,-82,1
Melbourne,278,513,57,102,320,39,18,1.2315318185586634,757,-244,1
Sydney,542,348,57,66,293,45,11,1.3058332795011842,958,-610,1
Sydney,543,562,41,135,139,30,3,1.5949943697388853,858,-296,1
Sydney,372,488,29,74,137,41,15,1.2686554325838153,612,-124,1
Sydney,268,578,25,51,147,40,10,2.9623446724271587,491,87,0
Melbourne,286,288,36,135,282,20,3,2.535129816053574,739,-451,1
Melbourne,300,691,57,54,174,24,16,0.911636720640074,585,106,0
Brisbane,207,206,43,53,308,32,7,0.5139853897046738,611,-405,1
Sydney,532,381,29,85,282,40,13,0.6069581706181697,928,-547,1
Brisbane,399,584,27,55,278,33,1,1.1101586276073132,759,-175,1
Melbourne,286,533,40,70,206,28,10,0.7857282145921414,602,-69,1
Melbourne,242,343,25,126,287,36,10,1.8333452872314302,680,-337,1
Melbourne,584,683,40,138,107,34,5,2.6449880568183968,869,-186,1
Melbourne,308,667,58,75,185,40,13,2.3418755522830685,626,41,1
Melbourne,351,334,43,104,167,26,9,1.039022657705476,665,-331,1
Melbourne,216,441,52,88,174,46,7,1.4982481400644647,530,-89,1
Melbourne,332,484,37,133,299,41,6,1.769735523828194,801,-317,1
Sydney,347,265,47,82,236,41,7,2.5255146237583386,712,-447,1
Brisbane,476,198,51,63,189,31,7,2.597804007765412,779,-581,1
Melbourne,431,231,31,105,229,42,1,2.77429577976944,796,-565,1
Sydney,513,482,46,149,179,25,15,1.773113126257188,887,-405,1
Sydney,565,484,29,130,194,40,8,2.235686866089657,918,-434,1
Brisbane,427,681,51,70,169,35,12,0.7795009280848428,717,-36,1
Melbourne,338,370,45,95,344,45,11,1.9132223998849551,822,-452,1
Brisbane,598,472,44,65,312,24,16,1.1217295236778377,1019,-547,1
Melbourne,410,152,30,65,189,28,1,1.5792922125665276,694,-542,1
Sydney,590,355,42,133,158,33,12,2.0851262707667986,923,-568,1
Sydney,227,189,53,78,246,27,0,1.1424648446344527,604,-415,1
Sydney,250,208,59,141,127,33,18,0.6304626444919027,577,-369,1
Sydney,460,656,42,57,171,31,10,0.5255846410218938,730,-74,1
Brisbane,460,271,48,137,113,29,4,0.5553988388613038,758,-487,1
Melbourne,549,628,50,52,123,49,0,0.5208743437844241,774,-146,1
Melbourne,551,245,26,138,211,39,19,0.7758876413946887,926,-681,1
Brisbane,207,563,59,68,143,39,12,1.0987217864253247,477,86,0
Melbourne,519,384,52,146,328,45,7,1.053053785455748,1045,-661,1
Sydney,337,211,40,115,155,40,5,2.966991485449742,647,-436,1
Melbourne,237,405,21,128,317,32,16,1.2650152630223581,703,-298,1
Sydney,310,497,37,135,322,48,11,0.8185519583984977,804,-307,1
Brisbane,567,273,52,123,219,38,0,1.8639063604193948,961,-688,1
Melbourne,419,631,56,131,278,34,2,2.644893638493771,884,-253,1
Brisbane,536,466,53,71,131,27,13,2.195150941969188,791,-325,1
Melbourne,422,653,39,95,277,42,7,1.2402052228386258,833,-180,1
Sydney,335,197,54,140,268,40,10,1.9040403994786375,797,-600,1
Brisbane,455,558,37,62,293,29,13,2.2871399355010227,847,-289,1
Melbourne,559,285,43,82,124,22,7,2.320261230919356,808,-523,1
Sydney,528,350,27,54,215,40,2,2.166346138244222,824,-474,1
Brisbane,248,399,49,139,335,22,6,2.677026061939045,771,-372,1
Brisbane,491,463,29,126,288,45,18,2.675263645860261,934,-471,1
Melbourne,581,517,42,76,165,24,3,1.947341398517508,864,-347,1
Melbourne,523,578,30,127,141,35,15,1.5746409227780307,821,-243,1
Melbourne,277,629,21,73,292,36,12,2.1039257389127495,663,-34,1
Sydney,304,463,45,116,263,25,19,2.545530003426158,728,-265,1
Melbourne,368,649,55,112,348,45,18,0.5141302621029618,883,-234,1
Brisbane,416,504,52,143,175,39,4,2.9799925225371275,786,-282,1
Brisbane,577,634,32,148,236,39,4,0.9572344308229981,993,-359,1
Melbourne,318,360,59,97,263,35,19,1.6756224641499404,737,-377,1
Melbourne,389,193,44,112,332,43,3,2.680074337107167,877,-684,1
Brisbane,454,690,23,127,319,21,1,1.0626009976104984,923,-233,1
Sydney,569,241,38,61,137,39,12,1.691988059750958,805,-564,1
Melbourne,465,414,37,77,260,34,15,0.8314554504529479,839,-425,1
Melbourne,348,369,56,93,269,37,1,1.4876908134704814,766,-397,1
Brisbane,363,591,49,142,160,20,18,0.9428386369825064,714,-123,1
Melbourne,339,550,38,92,273,45,16,1.4090693719278926,742,-192,1
Sydney,546,549,42,66,313,48,4,1.433660541981805,967,-418,1
Brisbane,457,639,35,89,188,48,17,2.982926973995832,769,-130,1
Melbourne,573,634,20,98,288,38,17,2.9870325732594307,979,-345,1
Brisbane,468,619,31,134,117,31,7,0.786965696651531,750,-131,1
Melbourne,380,594,43,106,169,27,14,2.314921948320868,698,-104,1
Melbourne,359,418,53,136,181,25,12,0.6293636991727529,729,-311,1
Melbourne,550,416,27,133,215,31,12,0.5754800383429716,925,-509,1
Sydney,599,203,37,113,179,26,15,0.7633347356124107,928,-725,1
Sydney,487,677,24,124,114,37,19,2.9137141425198347,749,-72,1
